Property_ID,Property_Name,Listing_Type,Property_Type,County,Estate,Sub_Location,Price_KES,Price_Category,Bedrooms,Bathrooms,Size_SQM,Furnished,Parking,Security_Rating,Water_Supply,Electricity,Internet,Pets_Allowed,Swimming_Pool,Gym,Garden,Balcony,Elevator,School_Nearby,Hospital_Nearby,Shopping_Centre,Public_Transport,Distance_CBD_KM,Family_Friendly,Student_Friendly,Traffic_Level,Noise_Level,Flood_Risk,Gated_Community,CCTV,Latitude,Longitude
P083,Riverside Gardens Suites,Sale,Apartment,Nairobi,Westlands,Riverside,15000000,Mid-range,2,3,110,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.3,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.255211,36.787126
P084,Riverside Heights Suites,Sale,Apartment,Nairobi,Westlands,Riverside,21000000,Mid-range,3,5+,160,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.4,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.27386,36.805069
P085,Riverside Executive Penthouse,Sale,Apartment,Nairobi,Westlands,Riverside Drive,40200000,Mid-range,3,4,220,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.5,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.274573,36.788969
P086,Riverside Square Suites,Sale,Apartment,Nairobi,Westlands,Riverside,15100000,Mid-range,1,1,70,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.2,No,Yes,Medium,Low,Low,Yes,Yes,-1.252935,36.802131
P087,Riverside Drive View,Sale,Apartment,Nairobi,Westlands,Riverside,13500000,Budget,2,2,100,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.3,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.26682,36.808539
P088,Riverside Plaza Residency,Sale,Apartment,Nairobi,Westlands,Riverside,40300000,Mid-range,3,4,180,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.4,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.256775,36.790712
P089,Riverside Lane Apartments,Sale,Apartment,Nairobi,Westlands,Riverside Drive,17000000,Mid-range,2,2,115,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.2,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.278092,36.797932
P090,Riverside Gardens View,Sale,Apartment,Nairobi,Westlands,Riverside Drive,17000000,Mid-range,3,4,150,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.5,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.268293,36.799011
P091,Riverside Court Residency,Sale,Apartment,Nairobi,Westlands,Riverside,13500000,Budget,3,2,140,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.4,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.259128,36.805201
P092,Riverside Studio Suites,Sale,Apartment,Nairobi,Westlands,Riverside,6000000,Budget,1,1,60,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.2,No,Yes,Medium,Low,Low,Yes,Yes,-1.251475,36.787953
P093,El Molo Drive Villas,Sale,House,Nairobi,Lavington,Lavington,72000000,Luxury,4,5+,380,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,7.4,Yes,No,Medium,Low,Low,Yes,Yes,-1.286921,36.759179
P094,Lavington Ridge Duplexes,Sale,House,Nairobi,Lavington,Lavington,82000000,Luxury,5,5+,420,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,7.5,Yes,No,Medium,Low,Low,Yes,Yes,-1.27315,36.75646
P095,Bellevue Court South C,Rent,Apartment,Nairobi,South C,South C,45000,Budget,3,2,110,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,No,Yes,Yes,Nextgen Mall,Excellent,6.5,Yes,Yes,Medium,Medium,High,Yes,Yes,-1.334294,36.816458
P096,South C Gardens Residency,Rent,Apartment,Nairobi,South C,South C,35000,Budget,2,2,85,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,No,Yes,Yes,Nextgen Mall,Excellent,6.2,Yes,Yes,Medium,Medium,High,Yes,Yes,-1.327344,36.811356
P097,Nextgen Park Houses,Rent,House,Nairobi,South C,South C,120000,Mid-range,4,3,220,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Nextgen Mall,Good,6.8,Yes,No,Medium,Low,High,Yes,Yes,-1.332506,36.830698
P098,SGR View Park Apartments,Sale,Apartment,Nairobi,Syokimau,Syokimau,6500000,Budget,2,2,100,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,Yes,Gateway Mall,Good,18.5,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.366706,36.94684
P099,Gateway Park Syokimau,Sale,Apartment,Nairobi,Syokimau,Syokimau,8500000,Budget,3,2,130,Unfurnished,Yes,Good,Reliable,Reliable,5G,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Gateway Mall,Good,18,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.36349,36.922518
P100,Choma Zone Villas,Sale,Maisonette,Nairobi,Syokimau,Syokimau,14500000,Budget,4,4,240,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Gateway Mall,Good,19.2,Yes,No,Low,Low,Medium,Yes,Yes,-1.350022,36.946081
P101,Base Residency Zimmerman,Rent,Apartment,Nairobi,Zimmerman,Zimmerman,25000,Budget,3,2,95,Unfurnished,Yes,Average,Occasional Outages,Occasional Outages,Fibre,No,No,No,No,Yes,No,No,Yes,TRM Mall,Excellent,13.5,Yes,Yes,High,High,Medium,No,Yes,-1.19193,36.906791
P102,Kamiti Road Court,Rent,Apartment,Nairobi,Zimmerman,Zimmerman,18000,Budget,2,1,70,Unfurnished,Yes,Average,Occasional Outages,Occasional Outages,5G,No,No,No,No,Yes,No,No,No,TRM Mall,Excellent,13.2,Yes,Yes,High,High,Medium,No,No,-1.195539,36.883989
P103,Zimmerman Plaza Studios,Rent,Studio,Nairobi,Zimmerman,Zimmerman,12000,Budget,0,1,35,Unfurnished,No,Average,Occasional Outages,Occasional Outages,,No,No,No,No,No,No,No,No,TRM Mall,Excellent,13,No,Yes,High,High,Medium,No,No,-1.206431,36.885412
P104,Greenspan Court Apartments,Rent,Apartment,Nairobi,Donholm,Donholm,35000,Budget,3,2,110,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,No,Yes,Yes,Greenspan Mall,Excellent,11.5,Yes,Yes,High,Medium,Medium,Yes,Yes,-1.296969,36.865759
P105,Donholm Plaza Court,Rent,Apartment,Nairobi,Donholm,Donholm,25000,Budget,2,2,85,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,No,Yes,No,Greenspan Mall,Excellent,11.2,Yes,Yes,High,Medium,Medium,Yes,Yes,-1.297631,36.893559
P106,Phenom Estate Apartments,Rent,Apartment,Nairobi,Lang'ata,Near Carnivore,80000,Mid-range,3,3,120,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Carnivore Centre,Good,7.5,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.345044,36.791522
P107,Southlands Court Langata,Rent,Apartment,Nairobi,Lang'ata,Near Carnivore,50000,Budget,2,1,85,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Carnivore Centre,Good,7.2,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.33935,36.78069
P108,Freedom Heights Court,Rent,Apartment,Nairobi,Lang'ata,Uhuru Gardens,27000,Budget,1,1,55,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,No,Freedom Heights Mall,Excellent,6.5,No,Yes,Medium,Medium,Low,Yes,Yes,-1.32428,36.797863
P109,Otiende Plaza Suites,Rent,Apartment,Nairobi,Lang'ata,Otiende,37000,Budget,1,1,60,Unfurnished,Yes,Good,Borehole Backup,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,Yes,Langata Shopping Centre,Good,7.8,No,Yes,Medium,Low,Low,Yes,Yes,-1.336327,36.789552
P110,Nyayo Estate Court,Rent,Apartment,Nairobi,Embakasi,Nyayo Estate,40000,Budget,3,2,105,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,No,Yes,Yes,Capital Centre,Good,13.5,Yes,Yes,Medium,Medium,Medium,Yes,Yes,-1.325356,36.888901
P111,Capital Garden Apartments,Sale,Apartment,Nairobi,Kilimani,George Padmore Road,10300000,Mid-range,2,2,94,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.5,Yes,No,Medium,Low,Low,Yes,Yes,-1.273939,36.788375
P112,Nouveau,Sale,Apartment,Nairobi,Kilimani,Lenana Road,6500000,Budget,1,1,60,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.5,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.286734,36.793439
P113,Mi Vida Homes,Sale,Apartment,Nairobi,Roysambu,"Garden City, Thika Road",8850000,Mid-range,1,1,58,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,Yes,Yes,High,Medium,Low,Yes,Yes,-1.229285,36.885525
P114,Riverside Square,Sale,Apartment,Nairobi,Westlands,Riverside Drive,26000000,Luxury,3,2,150,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,No,Medium,Low,Low,Yes,Yes,-1.265914,36.810582
P115,GTC Executive Residences,Sale,Apartment,Nairobi,Westlands,Waiyaki Way,45000000,Luxury,3,3,180,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.2,Yes,No,High,Medium,Low,Yes,Yes,-1.269956,36.802742
